X,T,P,Y
0.884,78.3839,0.0783421,0.881861
0.886,78.3849,0.0783398,0.88363
0.888,78.386,0.0783371,0.885407
0.89,78.3872,0.0783341,0.887192
0.892,78.3885,0.0783308,0.888987
0.894,78.39,0.0783271,0.890789
0.896,78.3916,0.078323,0.8926
0.898,78.3933,0.0783186,0.89442
0.9,78.3951,0.0783138,0.896249
0.902,78.3971,0.0783087,0.898086
0.904,78.3991,0.0783032,0.899933
0.906,78.4013,0.0782974,0.901788
0.908,78.4037,0.0782911,0.903652
0.91,78.4061,0.0782846,0.905525
0.912,78.4087,0.0782776,0.907407
0.914,78.4114,0.0782703,0.909298
0.916,78.4142,0.0782626,0.911198
0.918,78.4172,0.0782546,0.913107
0.92,78.4203,0.0782461,0.915026
0.922,78.4235,0.0782373,0.916953
0.924,78.4268,0.0782282,0.918891
0.926,78.4303,0.0782186,0.920837
0.928,78.4339,0.0782087,0.922793
0.93,78.4376,0.0781984,0.924758
0.932,78.4415,0.0781877,0.926734
0.934,78.4455,0.0781767,0.928718
0.936,78.4496,0.0781653,0.930712
0.938,78.4539,0.0781534,0.932716
0.94,78.4583,0.0781412,0.93473
0.942,78.4628,0.0781287,0.936754
0.944,78.4674,0.0781157,0.938787
0.946,78.4722,0.0781023,0.940831
0.948,78.4772,0.0780886,0.942884
0.95,78.4823,0.0780745,0.944948
0.952,78.4875,0.07806,0.947022
0.954,78.4928,0.078045,0.949106
0.956,78.4983,0.0780297,0.9512
0.958,78.5039,0.078014,0.953304
0.96,78.5097,0.077998,0.955419
0.962,78.5156,0.0779815,0.957545
0.964,78.5217,0.0779646,0.95968
0.966,78.5279,0.0779473,0.961827
0.968,78.5342,0.0779296,0.963984
0.97,78.5407,0.0779116,0.966152
0.972,78.5473,0.0778931,0.96833
0.974,78.5541,0.0778742,0.97052
0.976,78.561,0.0778549,0.97272
0.978,78.568,0.0778352,0.974931
0.98,78.5752,0.0778151,0.977154
0.982,78.5826,0.0777946,0.979387
0.984,78.5901,,0.981632
0.986,78.5977,,0.983888
0.988,78.6055,,0.986155
0.99,78.6135,,0.988433
0.992,78.6216,,0.990724
0.994,78.6298,,0.993025
0.996,78.6382,,0.995338
0.998,78.6468,,0.997663
0.93,78.4376,0.0782776,0.924758
0.9301,78.4378,0.0782773,0.924857
0.9302,78.438,0.0782769,0.924956
0.9303,78.4382,0.0782765,0.925054
0.9304,78.4384,0.0782762,0.925153
0.9305,78.4386,0.0782758,0.925251
0.9306,78.4388,0.0782755,0.92535
0.9307,78.4389,0.0782751,0.925449
0.9308,78.4391,0.0782747,0.925547
0.9309,78.4393,0.0782744,0.925646
0.931,78.4395,0.078274,0.925745
0.9311,78.4397,0.0782736,0.925844
0.9312,78.4399,0.0782733,0.925942
0.9313,78.4401,0.0782729,0.926041
0.9314,78.4403,0.0782725,0.92614
0.9315,78.4405,0.0782722,0.926239
0.9316,78.4407,0.0782718,0.926338
0.9317,78.4409,0.0782714,0.926437
0.9318,78.4411,0.078271,0.926536
0.9319,78.4413,0.0782707,0.926635
0.932,78.4415,0.0782703,0.926734
0.9321,78.4417,0.0782699,0.926833
0.9322,78.4419,0.0782695,0.926932
0.9323,78.4421,0.0782692,0.927031
0.9324,78.4423,0.0782688,0.92713
0.9325,78.4425,0.0782684,0.927229
0.9326,78.4427,0.078268,0.927328
0.9327,78.4429,0.0782677,0.927427
0.9328,78.4431,0.0782673,0.927526
0.9329,78.4433,0.0782669,0.927625
0.933,78.4435,0.0782665,0.927725
0.9331,78.4437,0.0782661,0.927824
0.9332,78.4439,0.0782657,0.927923
0.9333,78.4441,0.0782653,0.928022
0.9334,78.4443,0.078265,0.928122
0.9335,78.4445,0.0782646,0.928221
0.9336,78.4447,0.0782642,0.92832
0.9337,78.4449,0.0782638,0.92842
0.9338,78.4451,0.0782634,0.928519
0.9339,78.4453,0.078263,0.928619
0.934,78.4455,0.0782626,0.928718
0.9341,78.4457,0.0782622,0.928818
0.9342,78.4459,0.0782618,0.928917
0.9343,78.4461,0.0782614,0.929017
0.9344,78.4463,0.078261,0.929116
0.9345,78.4465,0.0782606,0.929216
0.9346,78.4467,0.0782602,0.929315
0.9347,78.4469,0.0782598,0.929415
0.9348,78.4471,0.0782594,0.929515
0.9349,78.4473,0.078259,0.929614
0.935,78.4475,0.0782586,0.929714
0.9351,78.4477,0.0782582,0.929814
0.9352,78.4479,0.0782578,0.929914
0.9353,78.4481,0.0782574,0.930013
0.9354,78.4483,0.078257,0.930113
